ts,device_id,moisture_s1_raw,moisture_s2_raw,moisture_s3_raw,moisture_s1_status,moisture_s2_status,moisture_s3_status,pressure_s1_value,pressure_s2_value,pressure_s3_value,moisture_s1_raw_mean_30s,moisture_s1_raw_std_30s,moisture_s1_raw_mean_2min,moisture_s1_raw_std_2min,moisture_s1_raw_mean_10min,moisture_s1_raw_std_10min,moisture_s1_raw_roc,moisture_s1_raw_zscore,moisture_s2_raw_mean_30s,moisture_s2_raw_std_30s,moisture_s2_raw_mean_2min,moisture_s2_raw_std_2min,moisture_s2_raw_mean_10min,moisture_s2_raw_std_10min,moisture_s2_raw_roc,moisture_s2_raw_zscore,moisture_s3_raw_mean_30s,moisture_s3_raw_std_30s,moisture_s3_raw_mean_2min,moisture_s3_raw_std_2min,moisture_s3_raw_mean_10min,moisture_s3_raw_std_10min,moisture_s3_raw_roc,moisture_s3_raw_zscore,pressure_s1_value_mean_30s,pressure_s1_value_std_30s,pressure_s1_value_mean_2min,pressure_s1_value_std_2min,pressure_s1_value_mean_10min,pressure_s1_value_std_10min,pressure_s1_value_roc,pressure_s1_value_zscore,pressure_s2_value_mean_30s,pressure_s2_value_std_30s,pressure_s2_value_mean_2min,pressure_s2_value_std_2min,pressure_s2_value_mean_10min,pressure_s2_value_std_10min,pressure_s2_value_roc,pressure_s2_value_zscore,pressure_s3_value_mean_30s,pressure_s3_value_std_30s,pressure_s3_value_mean_2min,pressure_s3_value_std_2min,pressure_s3_value_mean_10min,pressure_s3_value_std_10min,pressure_s3_value_roc,pressure_s3_value_zscore
2026-07-24 22:39:40.258472,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766832.0,3989933.0,2603674.0,4095.0,,4095.0,,4095.0,,,,4095.0,,4095.0,,4095.0,,,,4095.0,,4095.0,,4095.0,,,,1766832.0,,1766832.0,,1766832.0,,,,3989933.0,,3989933.0,,3989933.0,,,,2603674.0,,2603674.0,,2603674.0,,,
2026-07-24 22:39:40.262042,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766607.0,3989852.0,2603421.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766719.5,159.0990257669732,1766719.5,159.0990257669732,1766719.5,159.0990257669732,-63025.21008403361,,3989892.5,57.27564927611035,3989892.5,57.27564927611035,3989892.5,57.27564927611035,-22689.0756302521,,2603547.5,178.89801564019652,2603547.5,178.89801564019652,2603547.5,178.89801564019652,-70868.34733893558,
2026-07-24 22:39:40.263433,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766595.0,3989872.0,2603558.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766678.0,133.50280895921253,1766678.0,133.50280895921253,1766678.0,133.50280895921253,-8626.887131560028,,3989885.6666666665,42.19399641337311,3989885.6666666665,42.19399641337311,3989885.6666666665,42.19399641337311,14378.145219266713,,2603551.0,126.64517361510465,2603551.0,126.64517361510465,2603551.0,126.64517361510465,98490.294751977,
2026-07-24 22:39:41.028599,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766672.0,3989843.0,2603501.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766676.5,109.04586191139946,1766676.5,109.04586191139946,1766676.5,109.04586191139946,100.63175833740652,,3989875.0,40.5215991786761,3989875.0,40.5215991786761,3989875.0,40.5215991786761,-37.900272620581674,,2603538.5,106.38452268383153,2603538.5,106.38452268383153,2603538.5,106.38452268383153,-74.4936392887295,
2026-07-24 22:39:41.949944,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766691.0,3989766.0,2603481.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766679.4,94.65886118055899,1766679.4,94.65886118055899,1766679.4,94.65886118055899,20.622025408506044,0.1225453154139101,3989853.2,60.06413239199446,3989853.2,60.06413239199446,3989853.2,60.06413239199446,-83.5734713923666,-1.4517815629317,2603527.0,95.65301877097241,2603527.0,95.65301877097241,2603527.0,95.65301877097241,-21.707395166848467,-0.4809048432662693
2026-07-24 22:39:42.974550,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766666.0,3989915.0,2603527.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766677.1666666667,84.84201003433566,1766677.1666666667,84.84201003433566,1766677.1666666667,84.84201003433566,-24.39962287942878,-0.1316171866063182,3989863.5,59.35233778041529,3989863.5,59.35233778041529,3989863.5,59.35233778041529,145.4217523613955,0.8676996041930743,2603527.0,85.55466088998308,2603527.0,85.55466088998308,2603527.0,85.55466088998308,44.89530609814895,0.0
2026-07-24 22:39:43.917738,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766687.0,3989782.0,2603486.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766678.5714285714,77.5389303142992,1766678.5714285714,77.5389303142992,1766678.5714285714,77.5389303142992,22.26491431188692,0.10870115688304269,3989851.8571428573,62.3255661063614,3989851.8571428573,62.3255661063614,3989851.8571428573,62.3255661063614,-141.01112397528382,-1.1208424924381999,2603521.1428571427,79.62292084449436,2603521.1428571427,79.62292084449436,2603521.1428571427,79.62292084449436,-43.46959460892208,-0.44136608868392324
2026-07-24 22:39:44.952681,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766677.0,3989786.0,2603537.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766678.375,71.78925009060508,1766678.375,71.78925009060508,1766678.375,71.78925009060508,-9.662367879197213,-0.01915328546077045,3989843.625,62.22295740781242,3989843.625,62.22295740781242,3989843.625,62.22295740781242,3.864947151678885,-0.9261051290494411,2603523.125,73.92938232819246,2603523.125,73.92938232819246,2603523.125,73.92938232819246,49.27807618390578,0.1876791008263147
2026-07-24 22:39:47.437738,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766755.0,3989763.0,2603543.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766686.888888889,71.84609322092699,1766686.888888889,71.84609322092699,1766686.888888889,71.84609322092699,31.38761002262725,0.9480141237682295,3989834.6666666665,64.10928169930676,3989834.6666666665,64.10928169930676,3989834.6666666665,64.10928169930676,-9.255320904108036,-1.117882852012775,2603525.3333333335,69.47121706145045,2603525.3333333335,69.47121706145045,2603525.3333333335,69.47121706145045,2.414431540202096,0.2543019600604446
2026-07-24 22:39:47.439718,esp32-3,4095.0,4095.0,4095.0,Dry,Dry,Dry,1766622.0,3989785.0,2603560.0,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,4095.0,0.0,4095.0,0.0,4095.0,0.0,0.0,,1766680.4,70.77695795792997,1766680.4,70.77695795792997,1766680.4,70.77695795792997,-67171.71717171717,-0.8251272968615012,3989829.7,62.450068943995156,3989829.7,62.450068943995156,3989829.7,62.450068943995156,11111.111111111111,-0.7157718278945849,2603528.8,66.40916938025516,2603528.8,66.40916938025516,2603528.8,66.40916938025516,8585.858585858587,0.4698146399262551
